"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","name","popularity","artist","in_playlist"
"0.521","0.403","1","-13.919","1","0.0417","0.429","8.82E-05","0.634","0.626","98.008","audio_features","7tgMwYcqWpfZXKIyFcu62O","spotify:track:7tgMwYcqWpfZXKIyFcu62O","https://api.spotify.com/v1/tracks/7tgMwYcqWpfZXKIyFcu62O","https://api.spotify.com/v1/audio-analysis/7tgMwYcqWpfZXKIyFcu62O","581138","4","Bye-Ya","51","Thelonious Monk","0"
"0.517","0.0917","0","-18.395","1","0.0336","0.876","0.629","0.108","0.0836","95.068","audio_features","72PqmnVj86bfTnkFiQ9Mx9","spotify:track:72PqmnVj86bfTnkFiQ9Mx9","https://api.spotify.com/v1/tracks/72PqmnVj86bfTnkFiQ9Mx9","https://api.spotify.com/v1/audio-analysis/72PqmnVj86bfTnkFiQ9Mx9","267173","4","Where We Used To Live","60","Esbjörn Svensson Trio","0"
"0.503","0.344","1","-19.024","1","0.0369","0.673","0.381","0.096","0.468","108.489","audio_features","0m8tSPLHhjhGToD6LW0RPp","spotify:track:0m8tSPLHhjhGToD6LW0RPp","https://api.spotify.com/v1/tracks/0m8tSPLHhjhGToD6LW0RPp","https://api.spotify.com/v1/audio-analysis/0m8tSPLHhjhGToD6LW0RPp","191933","4","Windows","48","Chick Corea","0"
"0.286","0.0553","5","-20.216","0","0.034","0.982","0.592","0.0989","0.182","52.789","audio_features","2n0nSu6H5KrAYRfI6iKtwT","spotify:track:2n0nSu6H5KrAYRfI6iKtwT","https://api.spotify.com/v1/tracks/2n0nSu6H5KrAYRfI6iKtwT","https://api.spotify.com/v1/audio-analysis/2n0nSu6H5KrAYRfI6iKtwT","332133","4","Lazy Afternoon","44","Joe Henderson","0"
"0.373","0.302","1","-20.358","0","0.0376","0.818","0.835","0.171","0.35","86.925","audio_features","0Dt1B5dNfajRczQKZA87aL","spotify:track:0Dt1B5dNfajRczQKZA87aL","https://api.spotify.com/v1/tracks/0Dt1B5dNfajRczQKZA87aL","https://api.spotify.com/v1/audio-analysis/0Dt1B5dNfajRczQKZA87aL","435267","4","So Tender","52","Keith Jarrett","0"
"0.501","0.303","9","-10.722","0","0.0367","0.734","0.000123","0.139","0.537","130.031","audio_features","0q4SJUYOp0Er9fvREdDyDv","spotify:track:0q4SJUYOp0Er9fvREdDyDv","https://api.spotify.com/v1/tracks/0q4SJUYOp0Er9fvREdDyDv","https://api.spotify.com/v1/audio-analysis/0q4SJUYOp0Er9fvREdDyDv","305439","4","Enlightenment","50","Sun Ra","0"
"0.564","0.904","7","-3.808","1","0.0582","0.00719","0","0.528","0.637","124.102","audio_features","2BgunkkepMPFpArQj1Dx5s","spotify:track:2BgunkkepMPFpArQj1Dx5s","https://api.spotify.com/v1/tracks/2BgunkkepMPFpArQj1Dx5s","https://api.spotify.com/v1/audio-analysis/2BgunkkepMPFpArQj1Dx5s","160991","4","Caught Up In The Country","74","Rodney Atkins","0"
"0.735","0.831","9","-5.898","1","0.0332","0.00166","0.217","0.291","0.756","123.017","audio_features","08wJ1B9yu9sPeoRa5fbpr3","spotify:track:08wJ1B9yu9sPeoRa5fbpr3","https://api.spotify.com/v1/tracks/08wJ1B9yu9sPeoRa5fbpr3","https://api.spotify.com/v1/audio-analysis/08wJ1B9yu9sPeoRa5fbpr3","216800","4","It Ain't My Fault","65","Brothers Osborne","0"
"0.507","0.85","5","-5.679","1","0.0472","0.378","0","0.0567","0.847","171.8","audio_features","6leiB1fEsTnVCuPiielde5","spotify:track:6leiB1fEsTnVCuPiielde5","https://api.spotify.com/v1/tracks/6leiB1fEsTnVCuPiielde5","https://api.spotify.com/v1/audio-analysis/6leiB1fEsTnVCuPiielde5","183733","4","Something Like That","56","Tim McGraw","0"
"0.551","0.801","6","-5.069","1","0.0303","0.013","6.03E-06","0.265","0.625","128.027","audio_features","1mMLMZYXkMueg65jRRWG1l","spotify:track:1mMLMZYXkMueg65jRRWG1l","https://api.spotify.com/v1/tracks/1mMLMZYXkMueg65jRRWG1l","https://api.spotify.com/v1/audio-analysis/1mMLMZYXkMueg65jRRWG1l","240760","4","When It Rains It Pours","76","Luke Combs","0"
